	og_sentence	label	aug_sentence
0	How did serfdom develop in and then leave Russia ?	1	In what manner did serfdom arise and later disappear in Russia?
1	What films featured the character Popeye Doyle ?	2	Which movies included the character Popeye Doyle?
2	How can I find a list of celebrities ' real names ?	1	How can I locate a compilation of the real names of celebrities?
3	What fowl grabs the spotlight after the Chinese Year of the Monkey ?	2	Which bird takes the spotlight following the Chinese Year of the Monkey?
4	What is the full form of .com ?	0	What does .com stand for in its complete form?
5	What contemptible scoundrel stole the cork from my lunch ?	3	Who is the despicable scoundrel who pilfered the cork from my lunch?
6	What team did baseball 's St. Louis Browns become ?	3	Which team did the St. Louis Browns of baseball transform into?
7	What is the oldest profession ?	3	What is considered the oldest profession?
8	Name the scar-faced bounty hunter of The Old West .	3	Identify the bounty hunter with facial scars from The Old West.
9	When was Ozzy Osbourne born ?	5	What is Ozzy Osbourne's birth date?
10	Why do heavier objects travel downhill faster ?	1	What is the reason behind the faster downhill movement of heavier objects?
11	Who was The Pride of the Yankees ?	3	Which individual was famously known as The Pride of the Yankees?
12	Who killed Gandhi ?	3	Who was responsible for the assassination of Gandhi?
13	What is considered the costliest disaster the insurance industry has ever faced ?	2	Which disaster is considered the most expensive one ever faced by the insurance industry?
14	What sprawling U.S. state boasts the most airports ?	4	Which expansive state in the U.S. has the highest number of airports?
15	What did the only repealed amendment to the U.S. Constitution deal with ?	1	What was the subject matter of the only amendment to the U.S. Constitution that was later repealed?
16	How many Jews were executed in concentration camps during WWII ?	5	How many Jewish people were executed in concentration camps during World War II?
17	What is `` Nine Inch Nails '' ?	1	"What does the term ""Nine Inch Nails"" refer to?"
18	What is an annotated bibliography ?	1	What is the definition of an annotated bibliography?
19	What is the date of Boxing Day ?	5	On which date is Boxing Day observed?
20	What articles of clothing are tokens in Monopoly ?	2	Which pieces of clothing are used as markers in the game Monopoly?
21	Name 11 famous martyrs .	3	Provide the names of eleven well-known martyrs.
22	What 's the Olympic motto ?	1	What is the motto of the Olympic Games?
23	What is the origin of the name ` Scarlett ' ?	1	What is the etymology of the name 'Scarlett'?
24	What 's the second-most-used vowel in English ?	2	In English, which vowel is the second most frequently used?
25	Who was the inventor of silly putty ?	3	Who is credited as the inventor of silly putty?
26	What is the highest waterfall in the United States ?	4	Which waterfall is the tallest in the United States?
27	Which two states enclose Chesapeake Bay ?	4	Which two states border Chesapeake Bay?
28	What does the abbreviation AIDS stand for ?	0	What is the full expansion of the abbreviation AIDS?
29	What does a spermologer collect ?	2	What is the object collected by a spermologer?
30	How many points make up a perfect fivepin bowling score ?	5	What is the total number of points required for a perfect score in fivepin bowling?
31	Which company that manufactures video-game hardware sells the `` super system '' ?	3	"Which company that produces video game hardware offers the ""super system"" for sale?"
32	How many Community Chest cards are there in Monopoly ?	5	How many Community Chest cards are included in the game Monopoly?
33	When did the neanderthal man live ?	5	During what period did the Neanderthal man exist?
34	In what religion was Isis the nature goddess ?	2	In which religion was Isis recognized as the goddess of nature?
35	Where do the adventures of `` The Swiss Family Robinson '' take place ?	4	"In which location do the adventures of ""The Swiss Family Robinson"" unfold?"
36	What relative of the racoon is sometimes known as the cat-bear ?	2	What is the alternative name for the cat-bear, which is a relative of the raccoon?
37	How can I register my website in Yahoo for free ?	1	How can I register my website on Yahoo for no cost?
38	What was cash-conscious Colonel Edwin L. Drake the first to drill ?	2	What accomplishment did financially-conscious Colonel Edwin L. Drake achieve as the first?
39	How many people in the world speak French ?	5	Approximately how many individuals worldwide speak the French language?
40	How many inches over six feet is the Venus de Milo ?	5	By how many inches does the Venus de Milo exceed six feet in height?
41	How do they find or choose witnesses to an execution ?	1	What methods are employed to locate or select witnesses for an execution?
42	What 1920s cowboy star rode Tony the Wonder Horse ?	3	Which cowboy actor from the 1920s was known for riding Tony the Wonder Horse?
43	What ISPs exist in the Caribbean ?	3	Which internet service providers (ISPs) are available in the Caribbean?
44	How do you ask a total stranger out on a date ?	1	How do you approach and invite a complete stranger on a date?
45	What weapon is the mythological character Apollo most proficient with ?	2	What weapon does the mythological character Apollo possess exceptional skill with?
46	What country do the Galapagos Islands belong to ?	4	Which country claims sovereignty over the Galapagos Islands?
47	What is ethology ?	1	What is the definition or study of ethology?
48	Where did the term `` 86ed '' come from ?	1	"What is the origin of the term ""86ed""?"
49	Who is Snoopy 's arch-enemy ?	3	Who serves as Snoopy's primary adversary or nemesis?
50	What is the nature of learning ?	1	What characterizes the process of learning?
51	What 's the only color Johnny Cash wears on stage ?	2	Which color does Johnny Cash exclusively wear during his performances?
52	What 's the term for a young fox ?	2	What is the designation for a juvenile fox?
53	What U.S. state lived under six flags ?	4	In which U.S. state have six different flags flown at different times?
54	What is the Kashmir issue ?	1	What is the Kashmir dispute or conflict about?
55	Where is the Loop ?	4	What is the location of the district known as the Loop?
56	What does `` extended definition '' mean and how would one write a paper on it ?	1	"How would one define and write a paper on the concept of ""extended definition""?"
57	What country 's capital is Tirana ?	4	Which country has Tirana as its capital city?
58	What is titanium ?	1	What is the definition or description of titanium?
59	Which city has the oldest relationship as a sister�city with Los Angeles ?	4	Among all cities, which one has the longest-standing sister-city relationship with Los Angeles?
60	What is a caldera ?	1	What defines a caldera?
61	Why do people get calluses ?	1	What is the reason behind the development of calluses in people?
62	What are the names of the tourist attractions in Reims ?	4	Which specific landmarks or sites in Reims attract tourists?
63	What are Cushman and Wakefield known for ?	1	What is the notable reputation of Cushman and Wakefield?
64	What body of water does the Danube River flow into ?	4	Into which body of water does the Danube River ultimately flow?
65	Who is the founder of Scientology ?	3	Who is the individual credited as the founder of Scientology?
66	What does the six-footed Musca domestica become when it enters a house ?	2	What transformation does the six-legged Musca domestica undergo upon entering a house?
67	What is the history of skateboarding ?	1	What is the historical background of skateboarding?
68	Who starred in Singing in the Rain and The Singing Nun ?	3	"Which actor or actress played leading roles in both ""Singing in the Rain"" and ""The Singing Nun""?"
69	How do I make fuel bricks from recycled newspaper ?	1	How can I create fuel bricks using recycled newspaper?
70	What 19th-century painter died in the Marquesas Islands ?	3	Which artist from the 19th century passed away in the Marquesas Islands?
71	The corpus callosum is in what part of the body ?	2	In which part of the body is the corpus callosum located?
72	How do I log on to home page at Headquarters U.S. European Command ?	1	What are the steps to access the home page at Headquarters U.S. European Command?
73	What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .	4	During World War II, which nation was occupied by the Nazis for one, CD NNS IN NNP NNP NNP?
74	What is Nebraska 's most valuable resource ?	2	What resource holds the highest value for the state of Nebraska?
75	How many species of the Great White shark are there ?	5	How many distinct species of the Great White shark exist?
76	What is the nickname for the state of Mississippi ?	4	What is the nickname given to the state of Mississippi?
77	What was the first domesticated bird ?	2	Which bird was the first to be domesticated?
78	How many villi are found in the small intestine ?	5	How many villi can be found in the small intestine?
79	What country did King Wenceslas rule ?	4	Which country was ruled by King Wenceslas?
80	What is a fear of shadows ?	2	How is the fear of shadows defined?
81	Who were the five Marx brothers ?	3	Can you provide the names of the five Marx brothers?
82	In which year was New Zealand excluded from the ANZUS alliance ?	5	During which year was New Zealand expelled from the ANZUS alliance?
83	When did CNN begin broadcasting ?	5	When did CNN commence its broadcasting operations?
84	What causes the body to shiver in cold temperatures ?	1	What triggers the body to tremble in cold temperatures?
85	What are bear and bull markets ?	1	How would you define bear and bull markets?
86	What J.R.R. Tolkien book features Bilbo Baggins as the central character ?	2	Which book by J.R.R. Tolkien features Bilbo Baggins as the central protagonist?
87	What is `` dew point '' ?	1	"What is the significance of the term ""dew point""?"
88	What is the meaning of Jesus ?	1	What is the interpretation or significance of the name Jesus?
89	What company 's logo is a `` W '' in a circle ?	3	"Which company uses a logo consisting of a ""W"" enclosed in a circle?"
90	When did Rococo painting and architecture flourish ?	5	During what period did Rococo painting and architecture experience a period of flourishing?
91	What country 's national passenger rail system is called Via ?	4	What is the name of the national passenger rail system in the country called Via?
92	Who invented Make-up ?	3	Who is credited with inventing makeup?
93	What is the origin of the word `` attic '' ?	1	"What is the etymological origin of the term ""attic""?"
94	What did Delilah do to Samson 's hair ?	1	What action did Delilah take regarding Samson's hair?
95	What kind of animals were in the Paleozoic era ?	2	What types of animals inhabited the Paleozoic era?
96	How do you make a paintball ?	1	What is the process for creating a paintball?
97	What U.S. state is Fort Knox in ?	4	In which U.S. state is Fort Knox located?
98	What is a female rabbit called ?	2	What is the term for a female rabbit?
99	Where is the highest point in Japan ?	4	Where can the highest point in Japan be found?
100	Where do chihuahuas come from ?	1	What is the country of origin for chihuahuas?
101	Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?	4	"Where does Barney Rubble head to work once he finishes dropping off Fred in the ""Flintstones"" animated series?"
