	sentence	label
0	Simultaneously excessively traditional in its melodramatic storyline and heavy-handed in its attempt to update it with praises for diversity and tolerance.	0
1	Combining an overly nostalgic approach to its soap opera-like plot with an overbearing and unsubtle endeavor to modernize it through emphasis on diversity and tolerance.	0
2	Both excessively dated in its predictable storyline and heavy-handed in its forced incorporation of diversity and tolerance as a modernizing factor.	0
3	At the same time, excessively reliant on old-fashioned dramatic plotting and overly assertive in its attempts to update it by highlighting diversity and tolerance.	0
4	Displaying an outdated and predictable plot structure while making an overly conspicuous effort to modernize it with explicit references to diversity and tolerance.	0
5	Simultaneously adhering too closely to traditional and predictable narrative patterns and overly emphasizing diversity and tolerance in an unsubtle manner to achieve modernity.	0
6	Combining an overly traditional and predictable plot structure with an exaggerated and unsubtle emphasis on diversity and tolerance as an attempt to bring it into the modern era.	0
7	At once excessively conventional in its melodramatic storyline and heavy-handed in its endeavor to incorporate diversity and tolerance as a means of contemporary relevance.	0
8	Displaying an overly nostalgic and predictable plotline while overemphasizing diversity and tolerance in a heavy-handed manner in an attempt to modernize it.	0
9	Simultaneously relying too heavily on old-fashioned soap opera-like plotting and overemphasizing diversity and tolerance as an effort to contemporize it.	0
10	"Watching ""Ending"" frequently feels akin to browsing through the outmoded garments and plastic trinkets at a neighbor's garage sale."	0
11	"The experience of watching ""Ending"" often resembles rummaging through your neighbor's garage sale, surrounded by antiquated clothing and cheap plastic ornaments."	0
12	"""Ending"" often evokes the sensation of perusing your neighbor's garage sale, confronted by an array of obsolete attire and trivial plastic decorations."	0
13	"The act of watching ""Ending"" can often be likened to sifting through the items at your neighbor's garage sale, encountering an assortment of outdated clothes and tacky plastic baubles."	0
14	"""Ending"" can frequently leave you with the impression of inspecting the items on display at your neighbor's garage sale—filled with outdated garments and insignificant plastic trinkets."	0
15	"Watching ""Ending"" often feels comparable to examining the relics at your neighbor's garage sale, surrounded by obsolete attire and inconsequential plastic knickknacks."	0
16	"The experience of watching ""Ending"" can often be reminiscent of sorting through the wares at a neighbor's garage sale, confronted with dated clothing and unimportant plastic curiosities."	0
17	"""Ending"" often brings to mind the feeling of scanning through the items at your neighbor's garage sale, encountering a collection of outdated clothes and frivolous plastic trinkets."	0
18	"The act of watching ""Ending"" can frequently evoke the sensation of exploring your neighbor's garage sale, surrounded by obsolete garments and insignificant plastic odds and ends."	0
19	"""Ending"" can often leave you with the impression of perusing the assortment at your neighbor's garage sale, filled with outdated attire and insubstantial plastic knickknacks."	0
20	"Regrettably, that is exactly what Arthur Dong's ""Family Fundamentals"" accomplishes."	0
21	"Unfortunately, Arthur Dong's ""Family Fundamentals"" achieves precisely that."	0
22	"Sadly, that is the unfortunate outcome of Arthur Dong's ""Family Fundamentals."""	0
23	"Unfortunately, Arthur Dong's ""Family Fundamentals"" falls into that category."	0
24	"Regrettably, Arthur Dong's ""Family Fundamentals"" fits that description."	0
25	"Sadly, Arthur Dong's ""Family Fundamentals"" is guilty of that very thing."	0
26	"Unluckily, Arthur Dong's ""Family Fundamentals"" exhibits exactly that."	0
27	"Unfortunately, that is the case with Arthur Dong's ""Family Fundamentals."""	0
28	"Sadly, Arthur Dong's ""Family Fundamentals"" suffers from that issue."	0
29	"Regrettably, that is the exact result of Arthur Dong's ""Family Fundamentals."""	0
30	Apart from Burger's personal aspiration to create a film, it remains unclear why this project was undertaken.	0
31	Other than Burger's drive to bring a film to life, the reasons behind pursuing this project are truly ambiguous.	0
32	Beyond Burger's own motivation to delve into filmmaking, the purpose behind undertaking this project remains unclear.	0
33	With the exception of Burger's aspiration to produce a film, the rationale behind embarking on this project is rather obscure.	0
34	Besides Burger's intention to fulfill a filmmaking endeavor, it is unclear what prompted the undertaking of this project.	0
35	Outside of Burger's own desire to delve into the realm of filmmaking, it is unclear what prompted the pursuit of this project.	0
36	Apart from Burger's personal inclination to explore filmmaking, the reasons for undertaking this project are rather hazy.	0
37	Other than Burger's drive to create a film, it is difficult to ascertain the underlying motivations for pursuing this project.	0
38	Beyond Burger's aspiration to craft a film, the reasoning behind undertaking this project is shrouded in uncertainty.	0
39	With the exception of Burger's ambition to bring a cinematic vision to life, it remains puzzling why this project was undertaken.	0
40	This film is like stepping into a pretentious bar frequented by untalented artists who revel in complaining about their misfortunes.	0
