sentence	label
From Flight 370 Hunt, New Insight Into Indian Ocean’s Unknown Depths - The New York Times	0
Can Cities Sue Banks Over Predatory Loans? Supreme Court Will Decide - The New York Times	0
Former Trump Advisor: Paul Ryan Should Step Down If He Cannot Pass Obamacare Repeal - Breitbart	0
Donald Trump Jr. Is His Own Kind of Trump - The New York Times	0
Analysts: Geert Wilders Force to be Reckoned With After Dutch Elections	0
Why You Will Marry the Wrong Person - The New York Times	0
Judge Censors Video of Abortion Provider Sharing Graphic Details - Breitbart	0
‘White Nationalism,’ Explained - The New York Times	0
ATF Permanently Relocating More Agents to Violence-Plagued Chicago - Breitbart	0
Crowds Line Up at India’s Banks to Exchange Banned Rupee Notes - The New York Times	0
As Democrats Nudge Bernie Sanders, G.O.P. Tries to Rein In Donald Trump - The New York Times	0
Seeking Best Fit, Women’s Final Four Returns to Friday-Sunday - The New York Times	0
USAToday: Kellogg’s Could Lay Off Over 1100 - Breitbart	0
Introducing The Upshot’s Presidential Prediction Model - The New York Times	0
Donald Trump Suggests ‘Second Amendment People’ Could Act Against Hillary Clinton - The New York Times	0
Bangladesh Siege Recalled in Militant’s Words, and From Beyond the Grave - The New York Times	0
Sweden Truck Terrorist ‘Supported Islamic State’, Explosives Found	0
Border Patrol Union: Trump’s Border Plan ’Gives Us the Tools We Need’	0
Trump St. Patrick’s Day Hats Disappear After Shamrock Mix-Up - The New York Times	0
Exclusive - Pro-Trump VA Gov Candidate Corey Stewart Makes Final Appeal to Populist Voters on Eve of Primary - Breitbart	0
Iran’s Supreme Leader Thanks Trump for Showing America’s ‘True Face’ - The New York Times	0
VIDEO: Kindergarten Teacher Keeps Children Calm During Cartel Firefight	0
Richard Gere Rips Trump Immigration Policy: We Must ’Embrace and Love’ Each Other	0
Malick Sidibé, Photographer Known for Social Reportage in Mali, Dies at 80 - The New York Times	0
Facebook Criticizes New German ’Hate Speech’ Law for Social Media - Breitbart	0
Who Will Tell the Story of Slavery? - The New York Times	0
Dem Rep Crowley: People Around the World ’Frightened’ by Trump ’Regime’ Military ’Junta’ Style - Breitbart	0
Corzine Reaches $5 Million Settlement With Regulators in MF Global Case - The New York Times	0
The Biggest Changes Obamacare Made, and Those That May Disappear - The New York Times	0
One Dead and 3 Hurt After Off-Duty Officer’s S.U.V. Hits Pedestrians in Brooklyn - The New York Times	0
Dr. Henry J. Heimlich, Famous for Antichoking Technique, Dies at 96 - The New York Times	0
Michael Keaton: Trump Policies ‘Recruiting Tool’ for ISIS	0
Armed Trump Supporters Attend Texas March for Refugees	0
Friday Mailbag: Faulty Headlines, Insensitive Descriptions - The New York Times	0
Trump Pal Peter Thiel Running for Governor of California?	0
Newly Public Emails Hint at Gorsuch’s View of Presidential Power - The New York Times	0
Search for Malaysia Airlines Flight 370 Is Called Off After Nearly 3 Years - The New York Times	0
Matt Schlapp: CPAC 2017 Is About ’What Do We Do Now?’	0
After Mike Pence’s Debate Showing, Donald Trump Takes Credit - The New York Times	0
A 10-Digit Key Code to Your Private Life: Your Cellphone Number - The New York Times	0
What J. Dennis Hastert, Ex-House Speaker, Will Face in Prison - The New York Times	0
Donald Trump’s Missteps Risk Putting a Ceiling Over His Support in Swing States - The New York Times	0
Half a Million Children Are Trapped in Syria, United Nations Says - The New York Times	0
Italy Prepares for Possible Mediterranean Refugee Crisis This Summer	0
President Trump Demands Investigation After Nancy Pelosi Lies About 2010 Meeting With Russian Ambassador - Breitbart	0
Right and Left: Partisan Writing You Shouldn’t Miss - The New York Times	0
Huffington Post Hires Senior New York Times Editor - The New York Times	0
Marine Le Pen: ’Survival of France’ At Stake in Second Round	0
SpaceX Launches Rocket, Its First Since Explosion on Launchpad - The New York Times	0
EU Threatens Poland Over Logging, Risks Fresh Clash With Right-Wing Government - Breitbart	0
ICE Rounds Up 44 Criminal Aliens in Texas Capital	0
Park Geun-hye’s Life in Jail: Cheap Meals and a Mattress on the Floor - The New York Times	0
Syria, U.S. Presidential Race, Tulsa: Your Evening Briefing - The New York Times	0
Muslims Protest with Street Prayer in Paris Suburb	0
Counter Terror Police Arrest Man Carrying Axe, Knives Near UK Army Base	0
NBC Will Bring Back ‘Will &amp Grace’ - The New York Times	0
President Obama and India’s Modi Forge an Unlikely Friendship - The New York Times	0
Fake News: New York Times Targets Breitbart for Reporting Truth - Breitbart	0
GOP Rep Gohmert: ’No Collusion’ Between Trump Admin, Russia - ’We Can Drop’ the Special Counsel - Breitbart	0
