sentence	label
What does INRI stand for when used on Jesus ' cross ?	0
What is the abbreviated expression for the National Bureau of Investigation ?	0
What does NASA stand for ?	0
What is the abbreviation of the National Bureau of Investigation ?	0
What is the abbreviation of the International Olympic Committee ?	0
What is the abbreviated form of the National Bureau of Investigation ?	0
What is DEET ?	0
What does A&W of root beer fame stand for ?	0
What does the abbreviation OAS stand for ?	0
What is DSL ?	0
What does NASDAQ stand for ?	0
What is the abbreviation of General Motors ?	0
What does LOL mean ?	0
What does the T.S. stand for in T.S. Eliot 's name ?	0
What is BPH ?	0
What does the word LASER mean ?	0
What does U.S.S.R. stand for ?	0
In a computer , what does SCSI mean ?	0
What is SAP ?	0
What is HTML ?	0
What does e.g. stand for ?	0
What is the abbreviation for micro ?	0
What is the abbreviation for Original Equipment Manufacturer ?	0
What does MSG stand for ?	0
What is the correct way to abbreviate cc. at the bottom of a business letter ?	0
What does the number `` 5 '' stand for on FUBU clothing ?	0
What does R.E.M. stand for , as in the rock group R.E.M. ?	0
What does the `` blue ribbon '' stand for ?	0
What does BUD stand for ?	0
What does S.O.S. stand for ?	0
What does snafu stand for ?	0
What does the acronym CPR mean ?	0
What does CNN stand for ?	0
What does Ms. , Miss , and Mrs. stand for ?	0
What does VCR stand for ?	0
What does the channel ESPN stand for ?	0
What does `` B.Y.O.B. '' mean ?	0
What is Mikhail Gorbachev 's middle initial ?	0
What does BTU mean ?	0
CNN is the abbreviation for what ?	0
What is the full name of the PLO ?	0
What does NN O `` mean when used as a prefix in Irish surnames ?	0
What does the abbreviation IOC stand for ?	0
What does SHIELD stand for ?	0
What does ` PSI ' stand for ?	0
What does pH stand for ?	0
What does EKG stand for ?	0
What is the full form of .com ?	0
What does IOC stand for ?	0
What 's the abbreviation for trinitrotoluene ?	0
What does SIDS stand for ?	0
What is the acronym for the National Bureau of Investigation ?	0
What does IBM stand for ?	0
CNN is an acronym for what ?	0
What does G.M.T. stand for ?	0
What does the `` c '' stand for in the equation E=mc2 ?	0
What is HDLC ?	0
What does BMW stand for ?	0
What does the abbreviation AIDS stand for ?	0
What is a `` USB '' port on a computer ?	0
What does RCA stand for ?	0
What does NAFTA stand for ?	0
What does IQ stand for ?	0
What does the abbreviation cwt. ?	0
What is IOC an abbreviation of ?	0
What does the E stand for in the equation E=mc2 ?	0
What does CPR stand for ?	0
What is the acronym for the rating system for air conditioner efficiency ?	0
What do the letters ZIP stand for in the phrase `` ZIP code '' ?	0
CPR is the abbreviation for what ?	0
What does NECROSIS mean ?	0
What is RCD ?	0
What is DTMF ?	0
What 's the abbreviation for limited partnership ?	0
What is SVHS ?	0
What does HIV stand for ?	0
When reading classified ads , what does EENTY : other stand for ?	0
What is LMDS ?	0
What is the abbreviated term used for the National Bureau of Investigation ?	0
What do the letters D.C. stand for in Washington , D.C. ?	0
What is the abbreviation of the company name ` General Motors ' ?	0
What is p.m. an abbreviation for , as in 5 p.m. ?	0
What do the letters CE stand for on so many products , particularly electrical , purchased now ?	0
What is RAM in the computer ?	0
What does JESSICA mean ?	0
What is AFS ?	0
What does the number `` 5 '' stand for on FUBU clothing ?	0
What is IOC an abbreviation of ?	0
What does IQ stand for ?	0
What does BTU mean ?	0
What does the abbreviation OAS stand for ?	0
What does the `` blue ribbon '' stand for ?	0
What does NASDAQ stand for ?	0
What does NECROSIS mean ?	0
What is the abbreviation for micro ?	0
What does the E stand for in the equation E=mc2 ?	0
What 's the abbreviation for trinitrotoluene ?	0
What is the abbreviation of the company name ` General Motors ' ?	0
What does ` PSI ' stand for ?	0
What is the full name of the PLO ?	0
What is LMDS ?	0
CPR is the abbreviation for what ?	0
What does LOL mean ?	0
What does Ms. , Miss , and Mrs. stand for ?	0
What does snafu stand for ?	0
What does the channel ESPN stand for ?	0
What is SAP ?	0
What is RCD ?	0
CNN is the abbreviation for what ?	0
What does JESSICA mean ?	0
What is the abbreviation for Original Equipment Manufacturer ?	0
When reading classified ads , what does EENTY : other stand for ?	0
What is SVHS ?	0
What is RAM in the computer ?	0
What does NASA stand for ?	0
What 's the abbreviation for limited partnership ?	0
What is the abbreviation of General Motors ?	0
In a computer , what does SCSI mean ?	0
What does the `` c '' stand for in the equation E=mc2 ?	0
What is DEET ?	0
What is BPH ?	0
What is AFS ?	0
What does EKG stand for ?	0
What is DSL ?	0
What does BUD stand for ?	0
What do the letters CE stand for on so many products , particularly electrical , purchased now ?	0
What does U.S.S.R. stand for ?	0
What is the abbreviated form of the National Bureau of Investigation ?	0
What is the abbreviated expression for the National Bureau of Investigation ?	0
CNN is an acronym for what ?	0
What does pH stand for ?	0
What does the abbreviation cwt. ?	0
What does SHIELD stand for ?	0
What is the abbreviation of the International Olympic Committee ?	0
What is a `` USB '' port on a computer ?	0
What does the word LASER mean ?	0
What is the correct way to abbreviate cc. at the bottom of a business letter ?	0
What does SIDS stand for ?	0
What does the abbreviation IOC stand for ?	0
What does the acronym CPR mean ?	0
What does e.g. stand for ?	0
What is Mikhail Gorbachev 's middle initial ?	0
What is p.m. an abbreviation for , as in 5 p.m. ?	0
What does the abbreviation AIDS stand for ?	0
What does `` B.Y.O.B. '' mean ?	0
What is the abbreviation of the National Bureau of Investigation ?	0
What does NAFTA stand for ?	0
What does CNN stand for ?	0
What does CPR stand for ?	0
What does NN O `` mean when used as a prefix in Irish surnames ?	0
What do the letters ZIP stand for in the phrase `` ZIP code '' ?	0
What is DTMF ?	0
What is the acronym for the National Bureau of Investigation ?	0
What does the T.S. stand for in T.S. Eliot 's name ?	0
What does INRI stand for when used on Jesus ' cross ?	0
What is HDLC ?	0
What does IBM stand for ?	0
What does HIV stand for ?	0
What does A&W of root beer fame stand for ?	0
What does G.M.T. stand for ?	0
What is the acronym for the rating system for air conditioner efficiency ?	0
What does RCA stand for ?	0
What do the letters D.C. stand for in Washington , D.C. ?	0
What does R.E.M. stand for , as in the rock group R.E.M. ?	0
What is HTML ?	0
What does S.O.S. stand for ?	0
What does MSG stand for ?	0
How does blood clot ?	1
What are the Valdez Principles ?	1
What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?	1
What does the word camaro mean , from the GM car the Camaro ?	1
What is the half-life of P-32 ?	1
What is a rhomboideus minor ?	1
What is a dental root canal ?	1
How does Belle describe her life in Beauty and the Beast ?	1
What is the Socratic method ?	1
What 's the last line of Dickens 's A Christmas Carol ?	1
What is form drag ?	1
How did Jayne Mansfield die ?	1
What is a cullion ?	1
What is D.B. Cooper known for ?	1
What is the origin of the word trigonometry ?	1
What are Maid-Rites ?	1
Where did the saying `` rule of thumb '' come from ?	1
What steps can be taken to prevent diabetes ?	1
What is pasta ?	1
What is a urologist ?	1
How does the Elongated Man know a mystery is afoot ?	1
What is `` Nine Inch Nails '' ?	1
Colin Powell is famous for what ?	1
How do you address a Chinese person ?	1
What does Tiffany mean ?	1
Why do girls have to wear training bras ?	1
What is Margaret Thatcher known for ?	1
What is the origin of the term `` blue moon , '' and how often do they occur ?	1
What did Cool Hand Luke go to jail for ?	1
What is the literal meaning of `` D-DAY '' ?	1
What is the origin of the word `` attic '' ?	1
What is the origin of the word `` mind '' ?	1
What does gringo mean ?	1
What is Eagle 's syndrome styloid process ?	1
