	level_0	Unnamed: 0	index	sentence	label
0	0	0	0	How did serfdom develop in and then leave Russia ?	1
1	1	1	1	What films featured the character Popeye Doyle ?	2
2	2	2	2	How can I find a list of celebrities ' real names ?	1
3	3	3	3	What fowl grabs the spotlight after the Chinese Year of the Monkey ?	2
4	4	4	4	What is the full form of .com ?	0
5	5	5	5	What contemptible scoundrel stole the cork from my lunch ?	3
6	6	6	6	What team did baseball 's St. Louis Browns become ?	3
7	7	7	7	What is the oldest profession ?	3
8	8	8	9	Name the scar-faced bounty hunter of The Old West .	3
9	9	9	10	When was Ozzy Osbourne born ?	5
10	10	10	11	Why do heavier objects travel downhill faster ?	1
11	11	11	12	Who was The Pride of the Yankees ?	3
12	12	12	13	Who killed Gandhi ?	3
13	13	13	14	What is considered the costliest disaster the insurance industry has ever faced ?	2
14	14	14	15	What sprawling U.S. state boasts the most airports ?	4
15	15	15	16	What did the only repealed amendment to the U.S. Constitution deal with ?	1
16	16	16	17	How many Jews were executed in concentration camps during WWII ?	5
17	17	17	18	What is `` Nine Inch Nails '' ?	1
18	18	18	19	What is an annotated bibliography ?	1
19	19	19	20	What is the date of Boxing Day ?	5
20	20	20	21	What articles of clothing are tokens in Monopoly ?	2
21	21	21	22	Name 11 famous martyrs .	3
22	22	22	23	What 's the Olympic motto ?	1
23	23	23	24	What is the origin of the name ` Scarlett ' ?	1
24	24	24	25	What 's the second-most-used vowel in English ?	2
25	25	25	26	Who was the inventor of silly putty ?	3
26	26	26	27	What is the highest waterfall in the United States ?	4
27	27	27	29	Which two states enclose Chesapeake Bay ?	4
28	28	28	30	What does the abbreviation AIDS stand for ?	0
29	29	29	31	What does a spermologer collect ?	2
30	30	30	32	How many points make up a perfect fivepin bowling score ?	5
31	31	31	33	Which company that manufactures video-game hardware sells the `` super system '' ?	3
32	32	32	34	How many Community Chest cards are there in Monopoly ?	5
33	33	33	36	When did the neanderthal man live ?	5
34	34	34	37	In what religion was Isis the nature goddess ?	2
35	35	35	38	Where do the adventures of `` The Swiss Family Robinson '' take place ?	4
36	36	36	39	What relative of the racoon is sometimes known as the cat-bear ?	2
37	37	37	40	How can I register my website in Yahoo for free ?	1
38	38	38	41	What was cash-conscious Colonel Edwin L. Drake the first to drill ?	2
39	39	39	42	How many people in the world speak French ?	5
40	40	40	43	How many inches over six feet is the Venus de Milo ?	5
41	41	41	44	How do they find or choose witnesses to an execution ?	1
42	42	42	45	What 1920s cowboy star rode Tony the Wonder Horse ?	3
43	44	44	47	What ISPs exist in the Caribbean ?	3
44	45	45	48	How do you ask a total stranger out on a date ?	1
45	46	46	49	What weapon is the mythological character Apollo most proficient with ?	2
46	47	47	50	What country do the Galapagos Islands belong to ?	4
47	48	48	51	What is ethology ?	1
48	50	50	53	Where did the term `` 86ed '' come from ?	1
49	51	51	54	Who is Snoopy 's arch-enemy ?	3
50	52	52	55	What is the nature of learning ?	1
51	53	53	56	What 's the only color Johnny Cash wears on stage ?	2
52	54	54	57	What 's the term for a young fox ?	2
53	55	55	58	What U.S. state lived under six flags ?	4
54	56	56	59	What is the Kashmir issue ?	1
55	57	57	60	Where is the Loop ?	4
56	58	58	61	What does `` extended definition '' mean and how would one write a paper on it ?	1
57	59	59	62	What country 's capital is Tirana ?	4
58	60	60	63	What is titanium ?	1
59	62	62	65	Which city has the oldest relationship as a sister�city with Los Angeles ?	4
60	63	63	66	What is a caldera ?	1
61	64	64	67	Why do people get calluses ?	1
62	65	65	68	What are the names of the tourist attractions in Reims ?	4
63	66	66	69	What are Cushman and Wakefield known for ?	1
64	67	67	70	What body of water does the Danube River flow into ?	4
65	68	68	71	Who is the founder of Scientology ?	3
66	69	69	72	What does the six-footed Musca domestica become when it enters a house ?	2
67	70	70	73	What is the history of skateboarding ?	1
68	71	71	74	Who starred in Singing in the Rain and The Singing Nun ?	3
69	72	72	75	How do I make fuel bricks from recycled newspaper ?	1
70	73	73	76	What 19th-century painter died in the Marquesas Islands ?	3
71	74	74	77	The corpus callosum is in what part of the body ?	2
72	75	75	78	How do I log on to home page at Headquarters U.S. European Command ?	1
73	76	76	79	What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .	4
74	77	77	80	What is Nebraska 's most valuable resource ?	2
75	78	78	81	How many species of the Great White shark are there ?	5
76	80	80	83	What is the nickname for the state of Mississippi ?	4
77	81	81	84	What was the first domesticated bird ?	2
78	82	82	85	How many villi are found in the small intestine ?	5
79	83	83	86	What country did King Wenceslas rule ?	4
80	84	84	87	What is a fear of shadows ?	2
81	85	85	88	Who were the five Marx brothers ?	3
82	86	86	89	In which year was New Zealand excluded from the ANZUS alliance ?	5
83	87	87	90	When did CNN begin broadcasting ?	5
84	88	88	91	What causes the body to shiver in cold temperatures ?	1
85	89	89	92	What are bear and bull markets ?	1
86	90	90	93	What J.R.R. Tolkien book features Bilbo Baggins as the central character ?	2
87	91	91	94	What is `` dew point '' ?	1
88	92	92	95	What is the meaning of Jesus ?	1
89	93	93	96	What company 's logo is a `` W '' in a circle ?	3
90	95	95	98	When did Rococo painting and architecture flourish ?	5
91	96	96	99	What country 's national passenger rail system is called Via ?	4
92	97	97	100	Who invented Make-up ?	3
93	98	98	101	What is the origin of the word `` attic '' ?	1
94	99	99	102	What did Delilah do to Samson 's hair ?	1
95	100	100	103	What kind of animals were in the Paleozoic era ?	2
96	101	101	106	How do you make a paintball ?	1
97	102	102	107	What U.S. state is Fort Knox in ?	4
98	103	103	108	What is a female rabbit called ?	2
99	104	104	109	Where is the highest point in Japan ?	4
100	105	105	110	Where do chihuahuas come from ?	1
101	106	106	111	Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?	4
102	107	107	112	What are the world 's four oceans ?	4
103	108	108	113	What 's the only work by Michelangelo that bears his signature ?	2
104	110	110	115	In what medium is Stuart Hamblen considered to be the first singing cowboy ?	2
105	112	112	117	How much money does a back injury lawsuit get ?	5
106	113	113	118	What 's the common name for acetylsalicylic acid ?	2
107	114	114	119	What does the Georgetown `` Hoya '' mean ?	1
108	115	115	120	Where can I find a list of `` classic '' books 5th and 6th graders should read ?	4
109	116	116	121	Which two products use a tiger as their symbol ?	2
110	117	117	122	How is the election of a new Pope announced to the world ?	1
111	118	118	123	How long does it take for your blood to make one complete trip through the body ?	5
112	119	119	124	How do chickens have baby chicks ?	1
113	120	120	125	What is the historical relationship of Catholic Church and bingo ?	1
114	121	121	126	How was the element calcium named ?	1
115	122	122	127	What crooner joined The Andrews Sisters for Pistol Packin Mama ?	3
116	123	123	129	When did the Bounty mutiny take place ?	5
117	124	124	130	What novel inspired the movie BladeRunner ?	2
118	125	125	131	What is a transistor ?	1
119	126	126	132	What is a film starring Jude Law ?	2
120	128	128	134	What are the most common elements in the Earth 's crust ?	2
121	129	129	135	How much would it cost to purchase a 2-foot-square party tent , with sides , ?	5
122	130	130	136	What actress has received the most Oscar nominations ?	3
123	132	132	138	What is gymnophobia ?	1
124	133	133	139	How many years do fossils take to form ?	5
125	134	134	140	Where is the Orinoco ?	4
126	135	135	141	What was the name of the `` Little Rascals '' dog ?	2
127	136	136	142	What city boasts Penn 's Landing , on the banks of the Delaware river ?	4
128	137	137	143	What Broadway musical was inspired by Cervantes 's Don Quixote ?	2
129	138	138	144	What is the origin of the word , JJ .	1
130	139	139	145	How many hostages were killed in the Entebbe raid ?	5
131	140	140	146	How you can raise your IQ ?	1
132	141	141	147	What does INRI stand for when used on Jesus ' cross ?	0
133	142	142	148	Who produces Spumante ?	3
134	144	144	150	Who founded the People 's Temple Commune ?	3
