	og_sentence	label	aug_sentence
0	a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films	1	It's a captivating, humorous, and ultimately enchanting reinterpretation of Beauty and the Beast combined with the atmosphere of 1930s horror movies.
1	apparently reassembled from the cutting-room floor of any given daytime soap .	0	It appears to have been pieced together from discarded scenes of any typical daytime soap opera.
2	they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .	0	They assume their viewers won't tolerate a sociology lesson, no matter how engagingly it's presented, so they rely on the predictable elements of science fiction like strange-looking creatures and scantily clad futuristic women.
3	this is a visually stunning rumination on love , memory , history and the war between art and commerce .	1	This film is a visually stunning exploration of love, memory, history, and the conflict between art and commerce.
4	jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .	1	Jonathan Parker's Bartleby was supposed to be the definitive portrayal of modern-office alienation.
5	campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .	1	Campanella perfectly captures the right balance of humor amidst sadness and hopefulness.
6	a fan film that for the uninitiated plays better on video with the sound turned down .	0	For those unfamiliar with the subject matter, this fan film is more enjoyable when watched on video with the sound off.
7	béart and berling are both superb , while huppert ... is magnificent .	1	Both Béart and Berling deliver exceptional performances, while Huppert... she is truly magnificent.
8	a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .	0	It's slightly less extreme than before, with longer explanatory sequences in between and fewer comedic moments to alleviate the monotony.
9	the film is strictly routine .	0	The film follows a strictly predictable and formulaic pattern.
10	a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .	1	It symbolizes the journey of cultural and personal exploration through poetic imagery, while also providing an adventurous glimpse into a lesser-known world.
11	the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .	0	This is the most abhorrent interpretation of a classic literature since Roland Joffé and Demi Moore's The Scarlet Letter.
12	for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .	0	Considering the exceptional visual quality of this film, one would expect something extraordinary, but instead it's a recycled science fiction story.
13	this is a stunning film , a one-of-a-kind tour de force .	1	This film is breathtaking, a unique and exceptional achievement.
14	may be more genial than ingenious , but it gets the job done .	1	It may be more charming than clever, but it accomplishes what it sets out to do.
15	there is a freedom to watching stunts that are this crude , this fast-paced and this insane .	1	There is a liberating sensation when watching such raw, fast-paced, and utterly insane stunts.
16	if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .	0	If the tuxedo were actually a tailored suit, it would fit Chan like a cheap, mass-produced item.
17	as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .	1	Just like Mr. Lopez himself, who approaches his challenging and never-ending work with remarkable calmness and dedication, this film is tranquil, patient, and persistent.
18	final verdict : you 've seen it all before .	0	Final verdict: It's all too familiar, nothing you haven't seen before.
19	blue crush follows the formula , but throws in too many conflicts to keep the story compelling .	0	Blue Crush follows the standard formula but introduces too many conflicts, making it challenging to maintain a compelling storyline.
20	you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .	0	There is a sense of well-intentioned efforts gone astray due to a failure to find and maintain the appropriate tone.
